contract_symbol,date,open,high,low,close,volume,open_interest,month_of_expiration,ticker,expiration_date
BRT_1,25/07/2016,45.70000076,45.70000076,45.70000076,45.70000076,45.70000076,45.70000076,Sep-16,COU16,29/07/2016
BRT_1,26/07/2016,44.81999969,44.81999969,44.81999969,44.81999969,44.81999969,44.81999969,Sep-16,COU16,29/07/2016
BRT_1,27/07/2016,44.54999924,44.54999924,44.54999924,44.54999924,44.54999924,44.54999924,Sep-16,COU16,29/07/2016
BRT_1,28/07/2016,43.52999878,43.52999878,43.52999878,43.52999878,43.52999878,43.52999878,Sep-16,COU16,29/07/2016
BRT_1,29/07/2016,42.61000061,42.61000061,42.61000061,42.61000061,42.61000061,42.61000061,Sep-16,COU16,29/07/2016
BRT_1,01/08/2016,43.11000061,43.11000061,43.11000061,43.11000061,43.11000061,43.11000061,Oct-16,COV16,31/08/2016
BRT_1,02/08/2016,42.22999954,42.22999954,42.22999954,42.22999954,42.22999954,42.22999954,Oct-16,COV16,31/08/2016
BRT_1,03/08/2016,41.93999863,41.93999863,41.93999863,41.93999863,41.93999863,41.93999863,Oct-16,COV16,31/08/2016
BRT_1,04/08/2016,43.36000061,43.36000061,43.36000061,43.36000061,43.36000061,43.36000061,Oct-16,COV16,31/08/2016
BRT_1,05/08/2016,44.18000031,44.18000031,44.18000031,44.18000031,44.18000031,44.18000031,Oct-16,COV16,31/08/2016
BRT_1,08/08/2016,44.34000015,44.34000015,44.34000015,44.34000015,44.34000015,44.34000015,Oct-16,COV16,31/08/2016
BRT_1,09/08/2016,45.25,45.25,45.25,45.25,45.25,45.25,Oct-16,COV16,31/08/2016
BRT_1,10/08/2016,44.91999817,44.91999817,44.91999817,44.91999817,44.91999817,44.91999817,Oct-16,COV16,31/08/2016
BRT_1,11/08/2016,43.77999878,43.77999878,43.77999878,43.77999878,43.77999878,43.77999878,Oct-16,COV16,31/08/2016
BRT_1,12/08/2016,46.18000031,46.18000031,46.18000031,46.18000031,46.18000031,46.18000031,Oct-16,COV16,31/08/2016
